# Анализ закона Ципфа
# Всего токенов: 2148231
# Уникальных токенов: 176907
# Константа C (Ципф): 65514.81
# Параметры Мандельброта: a=0.9625, b=2.9797, C=165737.43

Ранг	Токен	Частота	Закон_Ципфа	Относит_ошибка,%
580	günümüzde	380	112.96	70.27
581	51	380	112.76	70.33
582	birer	379	112.57	70.30
583	sebebiyle	379	112.38	70.35
584	robert	379	112.18	70.40
585	yılın	378	111.99	70.37
586	46	378	111.80	70.42
587	sanat	377	111.61	70.40
588	idi	377	111.42	70.45
589	mustafa	377	111.23	70.50
590	yanı	376	111.04	70.47
591	turan	376	110.85	70.52
592	2016.	375	110.67	70.49
593	ligi	374	110.48	70.46
594	sidebar	374	110.29	70.51
595	İkinci	373	110.11	70.48
596	58	373	109.92	70.53
597	bakınız	373	109.74	70.58
598	html	373	109.56	70.63
599	rus	373	109.37	70.68
600	öne	372	109.19	70.65
601	1974	371	109.01	70.62
602	dönemi	371	108.83	70.67
603	cumhuriyet	370	108.65	70.64
604	oyun	369	108.47	70.60
605	kaynak	368	108.29	70.57
606	ad	368	108.11	70.62
607	uefa	367	107.93	70.59
608	47	365	107.75	70.48
609	yapıldı	365	107.58	70.53
610	auto	364	107.40	70.49
611	devleti	363	107.23	70.46
612	yapı	362	107.05	70.43
613	yılları	361	106.88	70.39
614	70	361	106.70	70.44
615	arda	361	106.53	70.49
616	kulesi	361	106.36	70.54
617	67	360	106.18	70.50
618	border	360	106.01	70.55
619	geniş	359	105.84	70.52
620	hemen	358	105.67	70.48
621	yanında	358	105.50	70.53
622	kaynakça	358	105.33	70.58
623	oldukça	357	105.16	70.54
624	belirtti	357	104.99	70.59
625	genç	356	104.82	70.56
626	muharebesi	356	104.66	70.60
627	80	356	104.49	70.65
628	no	356	104.32	70.70
629	içerisinde	355	104.16	70.66
630	references	355	103.99	70.71
631	konusunda	353	103.83	70.59
632	63	353	103.66	70.63
633	decimal	353	103.50	70.68
634	reflist-upper-alpha	353	103.34	70.73
635	upper-alpha	353	103.17	70.77
636	reflist-upper-roman	353	103.01	70.82
637	upper-roman	353	102.85	70.86
638	reflist-lower-alpha	353	102.69	70.91
639	lower-alpha	353	102.53	70.96
640	reflist-lower-greek	353	102.37	71.00
641	lower-greek	353	102.21	71.05
642	reflist-lower-roman	353	102.05	71.09
643	lower-roman	353	101.89	71.14
644	dolayı	352	101.73	71.10
645	fransız	351	101.57	71.06
646	52	350	101.42	71.02
647	hiçbir	349	101.26	70.99
648	hafta	348	101.10	70.95
649	açık	348	100.95	70.99
650	geçen	348	100.79	71.04
651	spor	347	100.64	71.00
652	1950	347	100.48	71.04
653	şeklinde	346	100.33	71.00
654	İngiliz	345	100.18	70.96
655	ay	345	100.02	71.01
656	56	345	99.87	71.05
657	0.9	345	99.72	71.10
658	batman	345	99.57	71.14
659	özel	344	99.42	71.10
660	57	343	99.26	71.06
661	sona	343	99.11	71.10
662	na	343	98.96	71.15
663	kısmı	342	98.82	71.11
664	yunan	342	98.67	71.15
665	gerçek	342	98.52	71.19
666	isimli	342	98.37	71.24
667	ön	341	98.22	71.20
668	adet	341	98.08	71.24
669	kıbrıs	340	97.93	71.20
670	krallık	339	97.78	71.16
671	yıldız	339	97.64	71.20
672	Ödülü	339	97.49	71.24
673	siyasi	338	97.35	71.20
674	durum	338	97.20	71.24
675	önceki	338	97.06	71.28
676	yılı	338	96.92	71.33
677	65	338	96.77	71.37
678	life	338	96.63	71.41
679	sport	338	96.49	71.45
680	durant	338	96.35	71.50
681	deki	337	96.20	71.45
682	bilgi	337	96.06	71.49
683	askerî	336	95.92	71.45
684	minogue	336	95.78	71.49
685	nun	335	95.64	71.45
686	gelir	335	95.50	71.49
687	bakım	335	95.36	71.53
